settlements_id,settlements_solver_id,settlements_trades_timestamp,settlements_trades_gasPrice,settlements_trades_feeAmount,settlements_trades_buyAmount,settlements_trades_sellAmount,settlements_trades_sellToken_id,settlements_trades_buyToken_id,settlements_trades_order_id,settlements_trades_buyAmountEth,settlements_trades_sellAmountEth,settlements_trades_buyAmountUsd,settlements_trades_sellAmountUsd,tokens_decimals,tokens_symbol,tokens_name,tokens_decimals_right,tokens_symbol_right,tokens_name_right,environment,name,active
0x00a4c5a7638c769a0930b8e0618297f6790fad57fdac8d05cb2e7e392a299a94,0xe92f359e6f05564849afa933ce8f62b8007a1d5d,1647725439,30807971794,1.6606880060200387e19,1.78e18,9.628821018135744e21,0x6bea7cfef803d1e3d5f7c0103f7ded065644e197,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x73a33a1b333a5a4eb2dda2c2a2fa937fcfb7eb76ee5cb40fe8978f5e7a0e3f5420c4a3ec5ed154520c04e466a5fe2c40d9d7b8ca62365254,1.78,1.7870604675266804,5267.675893748515,5288.570418798452,18,GAMMA,Gamma,18,WETH,Wrapped Ether,prod,Gnosis_0x,false
0x008fae7ca05b6049d91e27d1ca7f3a7719934133490498042bd483d11b3d7c39,0x583cd88b9d7926357fe6bddf0e8950557fcda0ca,1640362709,71916582233,6.286020792661068e18,9.184264303664283e17,5.511476861496575e20,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd16f0e5cb9164dd02095fcc5f271263b244bed68929a3479f856122d60b3a56603cd116cabe0747f31a71b3565877717097fc06c61c5f9a3,0.9184264303664283,0.9333482281267521,3761.8174444844453,3818.459186569529,18,LQTY,LQTY,18,WETH,Wrapped Ether,barn,DexCowAgg,false
0x001e61069b9d432aa4ab80fe2b8f9d66fd7c2f24bb12437f09b035fefb0d2472,0x340185114f9d2617dc4c16088d0375d09fee9186,1637714087,113344841965,5.184192320740073e16,7.178900787430238e18,3.790921196886514e19,0x72377f31e30a405282b522d588aebbea202b4f23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x557cb0b3c189d505217ffb56618b37b6d895425904284ea22bbb6f10e232ab23ebfc0d4a6e1b8adf166a4a20c526bc2a76948f6c619d8f45,7.178900787430238,0.0,31238.540391989147,0.0,18,VRN,Varen,18,WETH,Wrapped Ether,prod,Naive,false
0x009ddf26a794464fca3eb913782cb2910f2a5372feb704708652aa1fa5246ffd,0xa6ddbd0de6b310819b49f680f65871bee85f517e,1635725975,169397309389,5.5710439813712855e19,1.9871252550701384e18,7.0e21,0x727f064a78dc734d33eec18d5370aef32ffd46e4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x4c163b0a6f61aa3b87055cc874cafb8d1f3e131b5ac7c1de5e7bd090717b794f616a484648435a8072b6450bae6fc63d61e0154c617f3965,1.9871252550701384,0.0,8557.501125961267,0.0,18,ORION,Orion Money Token,18,WETH,Wrapped Ether,prod,Legacy,false
0x006d841b50edf7070a453b487dd6a956e727544d9bd27598a21a34d66c996704,0xa6ddbd0de6b310819b49f680f65871bee85f517e,1629617697,36797114389,5.1630241277002536e16,6.608043070906354e18,4.375539763638014e19,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x9c09a8e5b0f289cc3d67ed337121cdfb92c987371b0cf53be45cc6d1670574dbf73374c8d5691e2a8733bd997ec28282bfd8bfd46122050f,6.608043070906354,0.0,21540.31634743224,0.0,18,ILV,Illuvium,18,WETH,Wrapped Ether,prod,Legacy,false
0x007b12280e4a4d6b457ce9793098ef1f7ebd64abed603a677b20000eacb1242c,0xa21740833858985e4d801533a808786d3647fb83,1672611971,12963887474,2.4048283839406784e16,3.6588518071281544e16,8.22e17,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x81686ada16924eeef4622aa103aa37f591c939f2be6746bb5980476c9aea26aff620cd62813e2a74bdf0cad74a6598130394648763b20f2d,0.036588518071281544,0.035700845035224256,43.910968446734834,42.84564564242255,18,AAVE,Aave Token,18,WETH,Wrapped Ether,prod,Laertes,true
0x0025a23b0c6f22608a9d7d268e6363cd2fe4a20cc85ecfa7bb6e55792bf92d9e,0xde1c59bc25d806ad9ddcbe246c4b5e5505645718,1648875734,54891975813,3.89849259649973e19,4.0457688102994176e18,5.200036845299057e22,0x84cffa78b2fbbeec8c37391d2b12a04d2030845e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6c29461944a8b218289b645b5f1f41b36d1fa4e795bf6c4a40d1f90a365b0fefa009ad87cc7ddc877fc168c8869cf6f8c4c715396247df9b,4.045768810299418,0.0,14075.027551173833,0.0,18,DEFIT,DIGITAL FITNESS,18,WETH,Wrapped Ether,prod,Gnosis_1inch,false
0x006abc784eb7908b8d079bed303a82d1d67da872089a717a39e76b3ba9e101c7,0xe92f359e6f05564849afa933ce8f62b8007a1d5d,1640794520,115886432268,9.77031301165598e19,3.271568841377706e17,2.028e21,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6f37b812676afc61f591e3d37779fb8c632314082acfbfe69bdbc8848c5be2209340494e3e86694fa8e387f6a12fdfc993dce58f61cc8fb7,0.3271568841377706,0.0,1239.9476624866463,0.0,18,KEEP,KEEP Token,18,WETH,Wrapped Ether,prod,Gnosis_0x,false
0x00aeb1dd3751d33b5f945aae36e0e6894a10c092342d131b60d5883313367735,0x340185114f9d2617dc4c16088d0375d09fee9186,1645967135,40882685924,12792.0,1.0e17,426805.0,0x9355372396e3f6daf13359b7b607a3374cc638e0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfb55cac9f853948a2584de92c380f757704ef3c3010a51e840b679fd996c238598c923b40c3612a143e5b97a61582cf7e1dc7a0a621b7db7,0.1,0.0,282.5968672780428,0.0,4,WHALE,WHALE,18,WETH,Wrapped Ether,prod,Naive,false
0x006808ee6f20c113006c9c11b99e5e87604d350d1a02228fe1c365307f872088,0x77ec2a722c2393d3fd64617bbaf1499c713e616b,1648647528,57665050556,1.6596272671189922e19,1.489929948427692e18,1.2e22,0x970b9bb2c0444f5e81e9d0efb84c8ccdcdcaf84d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5ce03797ab57928e26bdef7a6d2c06171effa4cd420cb27c901b06e745ea9f5022fa3239c4bf43d05cc587ff40ea3ba5841c67096244613e,1.489929948427692,1.4933300690639213,5029.757514364321,5063.879268794947,18,FUSE,Fuse Token,18,WETH,Wrapped Ether,prod,QuasiModo,false
