swaps_id,swaps_hash,swaps_nonce,swaps_logIndex,swaps_gasLimit,swaps_gasUsed,swaps_gasPrice,swaps_protocol_id,swaps_account_id,swaps_pool_id,swaps_blockNumber,swaps_timestamp,swaps_tick,swaps_tokenIn_id,swaps_amountIn,swaps_amountInUSD,swaps_tokenOut_id,swaps_amountOut,swaps_amountOutUSD,endpoint
0xb50bc1326929eca4bc64c4073a099fc907e9722e87e42d3f61d0bf7334e961dd00020000,0xb50bc1326929eca4bc64c4073a099fc907e9722e87e42d3f61d0bf7334e961dd,0,512,305875,,80853926594,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x2216a5787f447460a2af693a12ab2a7e20518ae1,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119195,1643705529,197059,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000000000000000,27.690964530763626,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,27602257,27.602257,uniswap-v3-ethereum
0x1a8c829db47a12f0ce98d759e9e9e701a130e39da2a656e445d17a8a65dd57f709000000,0x1a8c829db47a12f0ce98d759e9e9e701a130e39da2a656e445d17a8a65dd57f7,36969,9,182000,,100370552419,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xf07704777d6bc182bf2c67fbda48913169b84983,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119196,1643705565,197064,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,60199832282538923665,166665.1130422018,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,166118425305,166118.425305,uniswap-v3-ethereum
0x671172a05d39f1a77b522498625da99a336209d37dbd984adfcbc4569ccfaedc24000000,0x671172a05d39f1a77b522498625da99a336209d37dbd984adfcbc4569ccfaedc,224,36,1200000,,94262388338,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xade3a68c17a36618cc3d94d06dbf17dfab121474,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119196,1643705565,197075,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,56000000000000000000,155037.74639369594,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,154366998088,154366.998088,uniswap-v3-ethereum
0x7c7a654671cd464dad43cc2523c641865f791b7cc371419ffe701307b007451b16000000,0x7c7a654671cd464dad43cc2523c641865f791b7cc371419ffe701307b007451b,166649,22,700000,,98258572887,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x00006196242a1d328fe4b636995e796cb6c7a2ac,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119196,1643705565,197070,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,54407100000000000000,150627.75306815098,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,150053375159,150053.375159,uniswap-v3-ethereum
0x7a7c386af4daf34f0ac975960e8e54bf041de6b8e4d6359147e2792eae7f9fee1e000000,0x7a7c386af4daf34f0ac975960e8e54bf041de6b8e4d6359147e2792eae7f9fee,28296,30,450067,,71322386422,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x53d8a6a3368ffe7b844782d8a037012497110d81,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119225,1643706063,196986,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2591926451134,2591926.451134,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,930772234242232812820,2572771.4845703198,uniswap-v3-ethereum
0x2f4f43f805e226099da99b8c21044a880e6e7805953b204282f758bd12461f092b000000,0x2f4f43f805e226099da99b8c21044a880e6e7805953b204282f758bd12461f09,2770,43,380181,,84524648905,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x9f985b4bb1b5a3c140bcf260d1c1e38a05acaae1,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119226,1643706095,197022,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,372772851985537401446,1039593.6371641135,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1034611478682,1034611.478682,uniswap-v3-ethereum
0xa798949b9fd2f952b73909d2f1bf94b90e5f4184e24cca9c21df9aba2069c0c638000000,0xa798949b9fd2f952b73909d2f1bf94b90e5f4184e24cca9c21df9aba2069c0c6,3547,56,614724,,91872850344,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xe28bfcd5a5410a214572b2c84b272c2cb99e55c4,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119228,1643706102,197023,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11938284640000000000,33174.03576869819,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,33072609480,33072.60948,uniswap-v3-ethereum
0x4e9a691e12597887530a9c8e3f29c61fcb8e95f1a9359bb5a98c5a5a86de60500f000000,0x4e9a691e12597887530a9c8e3f29c61fcb8e95f1a9359bb5a98c5a5a86de6050,2628,15,274260,,96605523894,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xcaa06e7d320cb0d0b7e9bb5c71623fd8bccd5837,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119237,1643706218,196998,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,709786000000,709786.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,254379152198697330031,706785.9155114925,uniswap-v3-ethereum
0x3365ddfa40918b45109806472c168cadfe715b5a9c1ac1088187bf209084caa11c000000,0x3365ddfa40918b45109806472c168cadfe715b5a9c1ac1088187bf209084caa1,28298,28,495693,,105934015658,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x53d8a6a3368ffe7b844782d8a037012497110d81,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119243,1643706373,196923,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2179917815524,2179917.815524,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,777361825053982330038,2165204.8030633274,uniswap-v3-ethereum
0x3d2007a4b449aa9846c53e492818fd93df52a91cb95071af1173e886d6117f472b000000,0x3d2007a4b449aa9846c53e492818fd93df52a91cb95071af1173e886d6117f47,33955,43,1200000,,124086178493,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x69181a03fd84d1e2679eb520dfde72c97e1ce524,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119245,1643706408,196961,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18468863615010578216,51830.7323727816,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,51486119748,51486.119748,uniswap-v3-ethereum
