block_time,buy_token,sell_token,units_bought,units_sold,trade_value_usd,price
2022-10-14T14:49:35+00:00,USDC,WETH,9.956858,0.0075750963368984,10.0062477552627,1314.4199832152638
2022-10-14T14:49:35+00:00,USDC,WETH,3.42741,0.0026075448928927,3.44441035081773,1314.4203228646147
2022-10-14T14:47:35+00:00,USDC,WETH,2.127577,0.001620027219768,2.13995875568036,1313.2970693570721
2022-10-14T14:47:35+00:00,USDC,WETH,10.730868,0.0081709404418578,10.7933220672677,1313.2965631505883
2022-10-14T14:46:59+00:00,USDC,WETH,0.616466,0.0004668786050232,0.616767451874,1320.3989074833846
2022-10-14T14:45:11+00:00,USDC,WETH,1.0,0.000757694536067,1.00067959683839,1319.7930728004799
2022-10-14T14:44:23+00:00,USDC,WETH,1.068509,0.0008096714516327,1.06932498945684,1319.6821968285467
2022-10-14T14:43:35+00:00,USDC,WETH,8.14919,0.0061854504737557,8.16906258618452,1317.4772047042115
2022-10-14T14:41:47+00:00,USDC,WETH,0.734508,0.0005563560061316,0.734773813737968,1320.2122236571308
2022-10-14T14:41:11+00:00,USDC,WETH,1.086345,0.0008256867303397,1.09047620789243,1315.6866400808708
2022-10-14T14:41:11+00:00,USDC,WETH,0.691639,0.0005256867303397,0.694269207892428,1315.6866249088337
2022-10-14T14:40:35+00:00,USDC,WETH,2.906597,0.0021920050490866,2.907163786415,1325.9992266948325
2022-10-14T14:37:47+00:00,USDC,WETH,1.264048,0.000956766589441,1.26429448936,1321.1665352346095
2022-10-14T14:37:47+00:00,USDC,WETH,0.50337,0.0003810038454398,0.50346815715,1321.1677677923444
2022-10-14T14:37:47+00:00,USDC,WETH,1.956652,0.0014810038454398,1.95703354714,1321.166049652593
2022-10-14T14:36:59+00:00,USDC,WETH,0.161449,0.0001213571641646,0.161480482555,1330.3623326351164
2022-10-14T14:36:23+00:00,USDC,WETH,2.501767,0.0018857886235051,2.502254844565,1326.6423229078484
2022-10-14T14:35:47+00:00,USDC,WETH,3.362949,0.002557766589441,3.36911572927766,1314.7990179725402
2022-10-14T14:35:47+00:00,USDC,WETH,0.1,7.6057256829984e-05,0.100183379269023,1314.7989313306007
2022-10-14T14:35:47+00:00,USDC,WETH,8.617551,0.0065542723053559,8.63335302333787,1314.7990499201671
