trades_id,trades_timestamp,trades_gasPrice,trades_feeAmount,trades_txHash,trades_settlement_id,trades_sellAmount,sell_token_decimal,trades_buyAmount,buy_token_decimal,trades_sellToken_id,trades_buyToken_id,trades_order_id,sell_token_symbol,buy_token_symbol,sell_amount,buy_amount,cow_price,binance_price,percentage_diff
0xcf89fd4c55b364b637eef9e3424e7e7c9444da66c2099349fe847b289f06e9a97085f63b3fbe274569e7d28283253b31361f411963fa24de|0xe93f9a0d0db9128f61f35e58676faa0ce4c24f97cd18d8c65bd71730d7eeffed|134,1677336059,20563674646,9037115,0xe93f9a0d0db9128f61f35e58676faa0ce4c24f97cd18d8c65bd71730d7eeffed,0xe93f9a0d0db9128f61f35e58676faa0ce4c24f97cd18d8c65bd71730d7eeffed,1000000000,6,51407320521236593111,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,0xcf89fd4c55b364b637eef9e3424e7e7c9444da66c2099349fe847b289f06e9a97085f63b3fbe274569e7d28283253b31361f411963fa24de,USDC,NMR,1000.0,51.40732052123659,19.452482445314292,19.22,-1.1951299581832724
0x54e24ecc37954632cb7dba371ef66dca565d315d3ecca95d052a53d208186b7d594f7ea831b715f8da52bab5425373dd681362a763fa262b|0xb4bc805ff834330b0dfbd866e4530df7a5a936c62f00746db13c5fc72152303c|135,1677336431,20596853648,5094510349097194496,0xb4bc805ff834330b0dfbd866e4530df7a5a936c62f00746db13c5fc72152303c,0xb4bc805ff834330b0dfbd866e4530df7a5a936c62f00746db13c5fc72152303c,3514890644856455031834,18,6166875893426707822,18,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x54e24ecc37954632cb7dba371ef66dca565d315d3ecca95d052a53d208186b7d594f7ea831b715f8da52bab5425373dd681362a763fa262b,LDO,WETH,3514.890644856455,6.166875893426708,569.9629286528999,567.1129261363636,-0.5000329623669074
0x661e153c6a64ea9ce0ba594924a57dc0b82c986a57697cc014b8279aba0c2d0b40a50cf069e992aa4536211b23f286ef88752187ffffffff|0xc3fb0ccfda60fc4f36b550615742f68865176552d71094020652036949f76852|137,1677336971,19899062951,3092367241103844,0xc3fb0ccfda60fc4f36b550615742f68865176552d71094020652036949f76852,0xc3fb0ccfda60fc4f36b550615742f68865176552d71094020652036949f76852,25000000000000000000,18,39938468455,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x661e153c6a64ea9ce0ba594924a57dc0b82c986a57697cc014b8279aba0c2d0b40a50cf069e992aa4536211b23f286ef88752187ffffffff,WETH,USDC,25.0,39938.468455,0.0006259629116266271,0.0006256960868966725,-0.04262628424122994
0x3a4e16a06a6462e9f1edee6817e5439180a894f33adf6a8cd5c5074016e2455e584c7c9b0a8fb3f648c3912316a2c5e873cf39bb63fa287a|0x3bfc070f632fc62a6ad87a91b91aa766a1fc62ac8986ff219ac06cfe5c944729|146,1677336995,19492595465,5140094,0x3bfc070f632fc62a6ad87a91b91aa766a1fc62ac8986ff219ac06cfe5c944729,0x3bfc070f632fc62a6ad87a91b91aa766a1fc62ac8986ff219ac06cfe5c944729,1017977188,6,760000000000000000000,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0x3a4e16a06a6462e9f1edee6817e5439180a894f33adf6a8cd5c5074016e2455e584c7c9b0a8fb3f648c3912316a2c5e873cf39bb63fa287a,USDC,SYN,1017.977188,760.0,1.3394436684210527,1.3155,-1.7875830828539263
0x195e7d65cf387aa1ab0929d77c74b44dff3a88da077498caac91050e0959e709fbe87d602f7d7dd511349be4acf58842392124a0640369ab|0xc8d608e2dc0aa493227d9f9d5f1a6494c88e2af8b09f5b8727aa1bad04cebc9c|307,1677340523,19935763360,0,0xc8d608e2dc0aa493227d9f9d5f1a6494c88e2af8b09f5b8727aa1bad04cebc9c,0xc8d608e2dc0aa493227d9f9d5f1a6494c88e2af8b09f5b8727aa1bad04cebc9c,73278260896,6,45932190697602596861,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x195e7d65cf387aa1ab0929d77c74b44dff3a88da077498caac91050e0959e709fbe87d602f7d7dd511349be4acf58842392124a0640369ab,USDC,WETH,73278.260896,45.9321906976026,1595.3574123740786,1594.89,-0.02929828579183298
0x392aa07187ae288f7c39b951cca95c9ae03bfe663757528164456b530f8b912e40a50cf069e992aa4536211b23f286ef88752187ffffffff|0x5997b271a3062fe2e247abfbaabae3aeddfacc64201ce9e1a86ce25b1621ac26|120,1677340631,20581588346,2655386008467578,0x5997b271a3062fe2e247abfbaabae3aeddfacc64201ce9e1a86ce25b1621ac26,0x5997b271a3062fe2e247abfbaabae3aeddfacc64201ce9e1a86ce25b1621ac26,2150000000000000000,18,3427989880,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x392aa07187ae288f7c39b951cca95c9ae03bfe663757528164456b530f8b912e40a50cf069e992aa4536211b23f286ef88752187ffffffff,WETH,USDC,2.15,3427.98988,0.0006271897162076803,0.0006268138425568991,-0.05992981725751945
0x6b9074feea80ec41b1fe414cd0d9bea9f6dcf7ff5c6ee75631969f674b0b1301fbe87d602f7d7dd511349be4acf58842392124a064036c2a|0x43e0fa16d87961952d870077fc9da3395242aff79aae425543228be481b430c8|123,1677341159,23012070919,0,0x43e0fa16d87961952d870077fc9da3395242aff79aae425543228be481b430c8,0x43e0fa16d87961952d870077fc9da3395242aff79aae425543228be481b430c8,44000000000000000000,18,70261686909,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b9074feea80ec41b1fe414cd0d9bea9f6dcf7ff5c6ee75631969f674b0b1301fbe87d602f7d7dd511349be4acf58842392124a064036c2a,WETH,USDC,44.0,70261.686909,0.0006262303388329825,0.0006260094402223585,-0.0352743386779386
0xdcfc7df9d55267c00e8031c7d12b8e6dbb4349905e034d88c8b21fbaa91cdef2fbe87d602f7d7dd511349be4acf58842392124a064036dda|0x0f256fff4a470b9cd25631fe87890b75a6c59b40ba2b3c408b1f9f0d5f8b5ec9|139,1677341591,21212265016,0,0x0f256fff4a470b9cd25631fe87890b75a6c59b40ba2b3c408b1f9f0d5f8b5ec9,0x0f256fff4a470b9cd25631fe87890b75a6c59b40ba2b3c408b1f9f0d5f8b5ec9,44000000000000000000,18,70392839929,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdcfc7df9d55267c00e8031c7d12b8e6dbb4349905e034d88c8b21fbaa91cdef2fbe87d602f7d7dd511349be4acf58842392124a064036dda,WETH,USDC,44.0,70392.839929,0.0006250635724369057,0.0006249140743147817,-0.023917266773550765
0x052bc7ee9ff9db36f32b1288f94d554d505c3c1efb9f5dc05d08dda390a0bb3640a50cf069e992aa4536211b23f286ef88752187ffffffff|0x0d70d14846b0f41fd01fc263e01628f0c1786ed4cfbddaf880cc4d268fd9af4a|107,1677342227,39479678901,4655663087106910,0x0d70d14846b0f41fd01fc263e01628f0c1786ed4cfbddaf880cc4d268fd9af4a,0x0d70d14846b0f41fd01fc263e01628f0c1786ed4cfbddaf880cc4d268fd9af4a,42000000000000000000,18,67131552831,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x052bc7ee9ff9db36f32b1288f94d554d505c3c1efb9f5dc05d08dda390a0bb3640a50cf069e992aa4536211b23f286ef88752187ffffffff,WETH,USDC,42.0,67131.552831,0.0006256372484892864,0.000625707831984933,0.011281856349986002
0x8f6500bc4cfb715522234759e508232b18a4381f6e05e2bb7e447fc661b40309fbe87d602f7d7dd511349be4acf58842392124a063fa3d8b|0xea058252c3dc0c9f7e60f1b56501b4a5a03610699c95bfb52f5d47450c36bc39|135,1677342395,25352220273,7937384411960320,0xea058252c3dc0c9f7e60f1b56501b4a5a03610699c95bfb52f5d47450c36bc39,0xea058252c3dc0c9f7e60f1b56501b4a5a03610699c95bfb52f5d47450c36bc39,1764376045129386297,18,2805650660,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x8f6500bc4cfb715522234759e508232b18a4381f6e05e2bb7e447fc661b40309fbe87d602f7d7dd511349be4acf58842392124a063fa3d8b,WETH,USDC,1.7643760451293864,2805.65066,0.0006288651934768624,0.0006258018085672268,-0.48712902883029763
trades_id,trades_timestamp,trades_gasPrice,trades_feeAmount,trades_txHash,trades_settlement_id,trades_sellAmount,sell_token_decimal,trades_buyAmount,buy_token_decimal,trades_sellToken_id,trades_buyToken_id,trades_order_id,sell_token_symbol,buy_token_symbol,sell_amount,buy_amount,cow_price,binance_price,percentage_diff
0xf0474e7af0669cb9d0ee29674317d6974a70ec2ad149291e4d389519322f652dfbe87d602f7d7dd511349be4acf58842392124a06404aec5|0x8580de4731bc592f7fe5c63cf63c463bdf967c87a84f825aad84a705664ec078|5,1677423743,21622280623,0,0x8580de4731bc592f7fe5c63cf63c463bdf967c87a84f825aad84a705664ec078,0x8580de4731bc592f7fe5c63cf63c463bdf967c87a84f825aad84a705664ec078,50000000000,6,31165855747817251600,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf0474e7af0669cb9d0ee29674317d6974a70ec2ad149291e4d389519322f652dfbe87d602f7d7dd511349be4acf58842392124a06404aec5,USDC,WETH,50000.0,31.16585574781725,1604.319817321295,1604.17,-0.009338370048002741
trades_id,trades_timestamp,trades_gasPrice,trades_feeAmount,trades_txHash,trades_settlement_id,trades_sellAmount,sell_token_decimal,trades_buyAmount,buy_token_decimal,trades_sellToken_id,trades_buyToken_id,trades_order_id,sell_token_symbol,buy_token_symbol,sell_amount,buy_amount,cow_price,binance_price,percentage_diff
0xe1734a1c9d64f97fddce7a494993b8e390a1732d5d3452980ae98e3d9f85218c05e3734ff2b3127e01070eb225afe910525959ad63fc777b|0x376e59b07f75160485c0942db607a2012274920567b078667d69debad792f163|104,1677488291,18275115971,20849792,0x376e59b07f75160485c0942db607a2012274920567b078667d69debad792f163,0x376e59b07f75160485c0942db607a2012274920567b078667d69debad792f163,15000000000,6,26054577381209337931695,18,0xdac17f958d2ee523a2206206994597c13d831ec7,0x111111111117dc0aa78b770fa6a738034120c302,0xe1734a1c9d64f97fddce7a494993b8e390a1732d5d3452980ae98e3d9f85218c05e3734ff2b3127e01070eb225afe910525959ad63fc777b,USDT,1INCH,15000.0,26054.57738120934,0.5757145771559533,0.571,-0.8189087688631244
0x0b4c140fcbfecdd9296c12d806b6b8dae81b1cb7dae55cdef1b936d71becffd936cc7b13029b5dee4034745fb4f24034f3f2ffc663fc88f7|0x3a45476b8d1dc7f9d9c872fbc1f02167123cb4e8d50ec238bd2c21aaf7a3ee40|105,1677488579,17629164585,577582928448114816,0x3a45476b8d1dc7f9d9c872fbc1f02167123cb4e8d50ec238bd2c21aaf7a3ee40,0x3a45476b8d1dc7f9d9c872fbc1f02167123cb4e8d50ec238bd2c21aaf7a3ee40,5182473792744158323242,18,22274426968731862668,18,0xba100000625a3754423978a60c9317c58a424e3d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0b4c140fcbfecdd9296c12d806b6b8dae81b1cb7dae55cdef1b936d71becffd936cc7b13029b5dee4034745fb4f24034f3f2ffc663fc88f7,BAL,WETH,5182.473792744158,22.274426968731863,232.66474150015853,233.26446280991735,0.2577620080687694
